0	1	1	0	1434	
1	1	1	1428	1434	
1	1	2	1429	3890	
1	1	3	1429	3619	
1	1	4	1429	3542	
1	1	5	1429	4312	
1	1	6	1429	3217	
1	1	7	1429	2998	
1	1	8	1429	3227	
1	1	9	1429	3219	
1	1	10	1429	2803	
1	1	11	1430	3767	
1	1	12	1430	1773	
1	1	13	1430	2801	
1	1	14	1430	1946	
1	1	15	1430	2000	
1	1	16	1430	1959	
1	1	17	1430	1898	
1	1	18	1430	2130	
1	1	19	1430	2111	
1	1	20	1431	3831	
1	1	21	1431	1908	
1	1	22	1431	1823	
1	1	23	1431	1796	
1	1	25	1431	2010	
1	1	26	1431	1893	
1	1	27	1431	2021	
1	1	28	1431	2033	
1	1	29	1432	1903	
1	1	30	1432	2036	
1	1	31	1432	1913	
1	1	32	1432	1915	
1	1	33	1432	1947	
1	1	34	1432	1883	
1	1	36	1432	1925	
1	1	37	1432	2079	
1	1	39	1432	2049	
1	1	40	1433	1904	
1	1	42	1433	2004	
1	1	44	1433	1890	
1	1	45	1433	1800	
1	1	46	1433	1909	
1	1	47	1433	1936	
1	1	48	1434	1940	
1	1	49	1434	1904	
1	1	50	1434	2115	
2	1	1	1440	1441	
2	1	2	1440	3914	
2	1	3	1440	3675	
2	1	4	1440	3572	
2	1	5	1440	4332	
2	1	6	1440	3236	
2	1	7	1440	3024	
2	1	8	1440	3254	
2	1	9	1440	3243	
2	1	10	1440	2809	
2	1	11	1440	3790	
2	1	16	1440	1975	
0	12	1	1773	1773	
2	12	1	1779	1778	
2	12	2	1779	3907	
2	12	3	1779	3653	
2	12	4	1779	3551	
2	12	6	1779	3222	
2	12	7	1779	3004	
2	12	9	1779	3233	
2	12	10	1779	2807	
2	12	11	1779	3786	
2	12	12	1779	1781	
2	12	13	1779	2809	
2	12	14	1779	1959	
2	12	15	1780	2009	
2	12	16	1780	1964	
2	12	17	1780	1905	
2	12	18	1780	2169	
2	12	19	1780	2120	
2	12	20	1780	3855	
2	12	21	1780	1921	
