43.4726	-80.5422
42.3592	-71.0619
37.2055	-80.4124
38.91	-77.02
50.6103	3.13525
48.8319	2.28097
22.3	114.166
45.4205	-75.6813
43.4726	-80.5422
39.33	-76.6
41.8556	12.6243
34.5927	135.504
44.8009	10.3255
36.1024	142.493
1.34618	103.682
52.22	20.99
48.16	16.24
42.3907	-71.1478
51.0775	-114.133
34.4285	-119.722
-37.9096	145.133
41.82	-71.42
33.7772	-84.3976
51.7461	19.4556
35.1566	136.925
40.3545	-3.74463
48.6661	6.15775
52.2112	0.0917
52.2207	21.0104
42.71	-73.2
37.5258	15.0749
46.0671	11.155
41.7	-86.2386
-36.8538	174.766
-41.2902	174.768
47.4744	19.0622
40.814	-73.6081
37.9684	23.7669
40.6401	-8.65628
47.3833	8.53333
25.0109	121.323
41.5022	-81.6079
52.22	4.53
40.3502	-74.6524
43.0757	-89.3867
28.227	112.996
39.9606	116.359
34.7995	135.768
35.42	139.42
40.35	-105.05
